Phenotype,r2,mae,rmse,pcc
YPP,0.3273271322250366,7.402816295623779,10.06007194519043,0.59579104
PN,0.40233635902404785,1.619673252105713,2.0072758197784424,0.6442744
GNPP,0.3074113726615906,20.973039627075195,32.60796356201172,0.5907947
SSR,0.29734545946121216,0.05713486671447754,0.07963716983795166,0.58570045
GWe,0.7005182504653931,1.26691734790802,1.665795922279358,0.86094487
HD,0.6694640517234802,4.091832160949707,6.57149600982666,0.8347639
PH,0.6397055387496948,4.162433624267578,5.761252403259277,0.82097924
FLL,0.5259706974029541,3.529421091079712,4.783982753753662,0.7604305
FLW,0.5137577056884766,0.11668376624584198,0.15090979635715485,0.73246247
PL,0.6371406316757202,1.1793242692947388,1.5016238689422607,0.81505
GL,0.7739306092262268,0.2581569254398346,0.3482956290245056,0.89141184
GWi,0.8360609412193298,0.06909068673849106,0.08968601375818253,0.9283434
