YPP,PN,GNPP,SSR,GWe,HD,PH,PL,GL,GWi
sample_2,sample_5,sample_2,sample_46,sample_36,sample_14,sample_5,sample_29,sample_39,sample_29
sample_6,sample_6,sample_8,sample_80,sample_39,sample_25,sample_29,sample_30,sample_63,sample_32
sample_7,sample_13,sample_11,sample_89,sample_64,sample_29,sample_30,sample_31,sample_64,sample_37
sample_11,sample_14,sample_25,sample_107,sample_66,sample_30,sample_31,sample_36,sample_66,sample_43
sample_13,sample_35,sample_145,sample_133,sample_67,sample_31,sample_32,sample_37,sample_67,sample_58
sample_38,sample_40,sample_176,sample_162,sample_134,sample_36,sample_34,sample_42,sample_68,sample_60
sample_52,sample_52,sample_205,sample_176,sample_151,sample_37,sample_36,sample_43,sample_99,sample_71
sample_67,sample_88,sample_206,sample_178,sample_163,sample_50,sample_37,sample_46,sample_111,sample_133
sample_173,sample_181,sample_244,sample_190,sample_164,sample_90,sample_38,sample_56,sample_113,sample_139
,sample_235,sample_272,sample_205,sample_166,sample_99,sample_43,sample_60,sample_129,sample_141
,sample_260,sample_284,sample_210,sample_168,sample_118,sample_44,sample_76,sample_149,sample_146
,sample_261,,,sample_192,sample_189,sample_52,sample_90,sample_157,sample_147
,sample_277,,,sample_230,sample_196,sample_58,sample_176,sample_158,sample_148
,,,,sample_254,sample_222,sample_113,sample_196,sample_164,sample_161
,,,,sample_256,sample_225,sample_203,sample_279,sample_168,sample_163
,,,,sample_266,sample_231,sample_254,,sample_174,sample_171
,,,,sample_271,sample_277,sample_264,,sample_195,sample_176
,,,,,sample_279,sample_279,,sample_203,sample_210
,,,,,,,,sample_230,sample_221
,,,,,,,,sample_255,sample_225
,,,,,,,,sample_259,sample_257
,,,,,,,,sample_262,
